PMID	DOI	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	ML_Check	Affs
27917288	10.1038/hortres.2016.56	2016	2016	2016	2019	2016	2016	True	European Molecular Biology Laboratory, The European Bioinformatics Institute, Wellcome Trust Genome Campus , Hinxton, Cambridge CB10 1SD, UK.
NA	10.7554/elife.14845							NA	NA
27898060	10.1038/nmeth.4077	2016	2016		2018		2016	True	European Molecular Biology Laboratory-European Bioinformatics Institute, Hinxton, UK. /// Earlham Institute, Norwich, UK.
27377652	10.1186/s13326-016-0088-7	2016	2016	2016	2019	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Hinxton, Cambridge, CB10 1SD, UK. /// ZFIN, the Zebrafish Model Organism Database, 5291 University of Oregon, Eugene, OR, 97403, USA. /// Ontology Development Group, Library, Oregon Health and Science University, Portland, Oregon, 97239, USA. /// The Jackson Laboratory, Bar Harbor, ME, 04609, USA.
27991928	10.1038/onc.2016.427	2016	2016	2017	2018	2016	2016	True	European Molecular Biology Laboratory-European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Cambridge, UK.
26787908	10.1073/pnas.1515137113	2016	2016	2016	2017	2016	2016	True	Wellcome Trust Genome Campus, European Bioinformatics Institute, Hinxton, Cambridge CB10 1SD, United Kingdom; /// University College London Institute of Healthy Ageing, and Department of Genetics, Evolution and Environment, University College London, London WC1E 6BT, United Kingdom. /// Max Planck Institute for Biology of Ageing, 50931 Cologne, Germany; University College London Institute of Healthy Ageing, and Department of Genetics, Evolution and Environment, University College London, London WC1E 6BT, United Kingdom partridge@age.mpg.de.
27083558	10.1186/s13059-016-0930-3	2016	2016	2016	2017	2016	2016	True	EMBL European Bioinformatics Institute, Wellcome Trust Genome Campus, Cambridge, UK. catalina.vallejos@mrc-bsu.cam.ac.uk. /// MRC Biostatistics Unit, Cambridge Institute of Public Health, Cambridge, UK. sylvia.richardson@mrc-bsu.cam.ac.uk. /// Cancer Research UK Cambridge Institute, University of Cambridge, Li Ka Shing Centre, Cambridge, UK. marioni@ebi.ac.uk.
28044459	10.1139/gen-2015-0174	2017	2017		2017	2016	2016	True	b European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, United Kingdom.
27011785	10.1186/s13326-016-0051-7	2016	2016	2016	2016	2016	2016	True	European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory, Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD UK ; Centre for Therapeutic Target Validation, Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD UK. /// European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory, Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD UK. /// Centre for Therapeutic Target Validation, Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD UK ; GSK, Medicine Research Centre, Stevenage, SG1 2NY UK.
26891705	10.1038/srep21518	2016	2016	2016	2019	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, United Kingdom.
