PMID	EMBL	Member states	Worldwide	Partnership
29288634	True	True	False	True
29232933	True	True	False	True
29296169	True	False	False	True
29192024	True	True	True	True
28902399	True	False	False	True
30109017	True	True	True	True
28843494	True	True	False	True
28851658	True	False	True	True
28836415	True	True	False	True
28759049	True	True	True	True
28723958	True	True	False	True
28733351	True	False	False	True
28641977	True	True	False	True
28751965	True	True	True	True
28658621	True	False	True	True
28506232	True	True	False	True
28576474	True	False	True	True
28500271	True	False	False	True
28502726	True	True	False	True
28374483	True	False	False	True
28452360	True	True	False	True
28361034	True	True	True	True
28288102	True	True	False	True
28301563	True	True	False	True
28253237	True	True	False	True
28306504	True	True	True	True
28104788	True	False	False	True
28218515	True	True	False	True
28165022	True	True	False	True
28192161	True	True	True	True
28189763	True	True	False	True
28106223	True	True	False	True
28102201	True	True	False	True
28119112	True	False	True	True
28098557	True	False	True	True
28062751	True	True	True	True
28451304	True	True	False	True
28809017	True	True	False	True
28389948	True	False	False	True
