PMID	EMBL	Member states	Worldwide	Partnership
29186117	True	False	False	False
29133310	True	True	True	False
29108999	True	True	False	False
29166617	True	True	False	False
29102610	True	False	False	False
29042579	True	False	True	False
29154025	True	False	False	False
28970537	True	False	True	False
28871963	True	True	False	False
28870654	True	False	True	False
28855263	True	True	True	False
28835928	True	True	False	False
28679796	True	True	True	False
28753428	True	False	False	False
28607113	True	True	True	False
28455348	True	False	False	False
28380353	True	True	False	False
28289288	True	True	False	False
28272414	True	True	True	False
28321204	True	True	False	False
28158178	True	False	False	False
28139756	True	True	False	False
