PMID	EMBL	Member states	Worldwide	Partnership
29479297	True	False	False	False
29035042	True	True	True	False
29280730	True	True	False	False
29206104	True	True	True	False
29221623	True	False	False	False
29220076	True	False	False	False
29172488	True	True	False	False
29209042	True	False	False	False
29226804	True	True	False	False
29223477	True	True	False	False
29206283	True	False	True	False
29276046	True	True	False	False
29322930	True	False	True	False
29322916	True	False	True	False
29322914	True	False	False	False
29322915	True	False	True	False
29322912	True	False	True	False
29247106	True	True	True	False
29229984	True	True	False	False
29229604	True	True	True	False
29261781	True	True	True	False
29272997	True	False	True	False
29235467	True	True	True	False
28961761	True	True	False	False
29186120	True	True	True	False
29098713	True	False	True	False
29238358	True	True	False	False
29036314	True	True	False	False
29191787	True	True	False	False
29178830	True	True	False	False
29144233	True	True	False	False
29180706	True	True	True	False
29142228	True	True	True	False
29141958	True	True	False	False
29127686	True	True	True	False
29115968	True	False	False	False
29174494	True	False	True	False
29077811	True	False	True	False
29036573	True	True	False	False
29036270	True	True	True	False
29036507	True	False	False	False
29036576	True	True	False	False
29177046	True	True	True	False
29153988	True	True	False	False
29167366	True	True	True	False
29161638	True	True	False	False
29190272	True	True	False	False
29141230	True	True	False	False
29092942	True	True	True	False
29063830	True	False	True	False
29067781	True	True	True	False
28875543	True	True	True	False
29083405	True	True	True	False
28960077	True	True	False	False
29056346	True	True	False	False
29061644	True	True	True	False
29061983	True	True	False	False
29026211	True	True	True	False
29030468	True	True	False	False
29045833	True	True	False	False
29031501	True	True	False	False
29026089	True	True	True	False
28792687	True	True	False	False
29032074	True	True	False	False
28980073	True	False	True	False
28983045	True	True	False	False
29989594	True	False	False	False
29094699	True	True	True	False
28949328	True	False	False	False
29018348	True	True	False	False
28926970	True	True	False	False
28943385	True	True	True	False
28849660	True	True	True	False
28575551	True	True	False	False
28902400	True	False	False	False
28919242	True	True	True	False
29043062	True	True	True	False
28892668	True	True	False	False
28877501	True	True	True	False
29046882	True	True	False	False
28595363	True	True	False	False
29104925	True	False	True	False
30109017	True	True	True	True
28852801	True	True	True	False
28851378	True	True	False	False
28867294	True	False	False	False
28860623	True	True	False	False
28813177	True	False	False	False
29221125	True	True	True	False
28928938	True	True	True	False
28817584	True	False	False	False
28835438	True	True	False	False
29086168	True	False	True	False
29123641	True	True	True	False
28813442	True	True	False	False
28830114	True	True	True	False
28854368	True	True	True	False
28787424	True	True	True	False
28782508	True	True	False	False
28810143	True	True	True	False
28890673	True	True	False	False
28841418	True	True	True	False
28763055	True	True	True	False
28792939	True	True	False	False
28768205	True	True	False	False
28768204	True	True	False	False
28637310	True	True	True	False
28681552	True	True	False	False
28402395	True	True	True	False
28407033	True	True	True	False
28379341	True	True	True	False
28703137	True	True	True	False
28701522	True	True	False	False
28643440	True	True	True	False
28675884	True	False	False	False
28682240	True	True	True	False
28383659	True	False	False	False
28369191	True	False	False	False
28334231	True	False	False	False
28339683	True	True	True	False
28662064	True	True	True	False
28671681	True	True	False	False
28531267	True	False	False	False
28472413	True	False	True	False
28431173	True	False	False	False
28472374	True	False	False	False
28944233	True	True	True	False
28775673	True	True	False	False
28544481	True	True	True	False
28637447	True	True	True	False
28602100	True	False	False	False
28524227	True	True	False	False
28751965	True	True	True	True
28713550	True	True	True	False
28620943	True	True	False	False
28652613	True	True	False	False
28650954	True	True	True	False
28650483	True	True	True	False
28587637	True	False	False	False
28200016	True	True	True	False
28200105	True	False	False	False
28592499	True	True	True	False
28583177	True	False	True	False
28794860	True	True	True	False
28530707	True	True	False	False
28545254	True	True	False	False
28542189	True	True	True	False
28504705	True	True	False	False
28504683	True	True	True	False
28552721	True	True	False	False
28552196	True	True	True	False
28558813	True	True	True	False
28440912	True	True	True	False
28559010	True	True	False	False
28515314	True	True	True	False
28508897	True	True	True	False
28489815	True	True	False	False
28498860	True	True	True	False
28487536	True	True	True	False
28500258	True	True	False	False
28499443	True	True	False	False
28502238	True	True	False	False
28471426	True	True	False	False
28420692	True	True	False	False
28490671	True	False	False	False
28479188	True	True	False	False
28426829	True	False	False	False
28458042	True	True	False	False
28580912	True	False	False	False
28479611	True	True	True	False
28486464	True	True	True	False
28337822	True	True	True	False
28395661	True	True	False	False
28381545	True	True	False	False
28399939	True	True	False	False
28447635	True	True	True	False
28396521	True	True	True	False
28385709	True	True	False	False
28381599	True	False	True	False
28088763	True	True	False	False
27980062	True	True	False	False
27923999	True	False	True	False
28318237	True	True	True	False
28351599	True	True	False	False
28448065	True	True	True	False
28330491	True	True	False	False
28332632	True	True	True	False
28323615	True	True	False	False
28469412	True	False	True	False
28287266	True	False	True	False
28282383	True	True	False	False
28288110	True	True	True	False
28351886	True	True	True	False
28351984	True	True	False	False
28257198	True	True	True	False
28334554	True	True	True	False
28249561	True	True	True	False
28253260	True	True	False	False
28330582	True	True	True	False
28283040	True	True	True	False
28270580	True	False	True	False
28360329	True	True	False	False
28356508	True	False	True	False
28263961	True	True	False	False
28158609	True	False	False	False
28230364	True	False	False	False
28345074	True	True	False	False
26984618	True	True	False	False
28025201	True	True	False	False
28214127	True	True	False	False
28180281	True	False	False	False
