PMID	EMBL	Member states	Worldwide	Partnership
29282285	True	False	True	False
29446000	True	True	False	False
29280730	True	True	False	False
29266099	True	False	True	False
29244538	True	True	True	False
29221622	True	False	False	False
29220653	True	True	True	False
30023603	True	False	False	False
29235043	True	True	True	False
29227286	True	True	True	False
29242600	True	True	False	False
29242367	True	False	True	False
29229809	True	True	False	False
29235475	True	True	True	False
29217591	True	True	False	False
29191673	True	False	False	False
29059299	True	True	False	False
29253861	True	True	False	False
29254951	True	True	False	False
29255284	True	True	True	False
29321884	True	True	False	False
29021398	True	True	False	False
29199022	True	False	False	False
29054136	True	True	False	False
29036346	True	False	True	False
29323269	True	False	False	False
29191787	True	True	False	False
29176730	True	False	True	False
29119545	True	False	False	False
29161304	True	True	False	False
29148969	True	True	False	False
29134393	True	True	True	False
29312579	True	True	False	False
29308317	True	True	False	False
29138315	True	True	False	False
29118001	True	False	True	False
29143823	True	True	True	False
29154949	True	True	False	False
29111974	True	True	False	False
29095441	True	True	False	False
29095143	True	False	True	False
29112871	True	False	False	False
29101320	True	True	True	False
28916648	True	False	True	False
28837503	True	False	False	False
28977638	True	True	False	False
29177046	True	True	True	False
29117898	True	True	False	False
29144446	True	True	True	False
29167669	True	True	False	False
29144447	True	True	False	False
27655933	True	True	False	False
29202016	True	False	True	False
29062044	True	True	False	False
29087936	True	True	False	False
29068313	True	True	True	False
29084565	True	True	False	False
29033457	True	False	True	False
28960290	True	False	True	False
29019322	True	True	True	False
29058676	True	False	False	False
29048325	True	False	False	False
29056429	True	False	True	False
29042541	True	True	False	False
29018093	True	False	True	False
28937758	True	True	True	False
29021609	True	True	False	False
29078340	True	True	True	False
29169088	True	False	False	False
29018623	True	False	True	False
29065300	True	False	False	False
28988770	True	False	False	False
28967887	True	True	True	False
28977635	True	True	True	False
28978433	True	True	False	False
28818866	True	False	False	False
29020745	True	False	True	False
28968519	True	False	True	False
29094699	True	True	True	False
28939825	True	True	True	False
28937963	True	True	False	False
28951478	True	True	True	False
28970965	True	True	True	False
28963201	True	False	False	False
28966089	True	True	True	False
28895528	True	True	True	False
28895530	True	True	True	False
28964698	True	True	False	False
28954810	True	False	False	False
28933027	True	True	False	False
28923955	True	True	True	False
28912312	True	False	False	False
28959251	True	False	True	False
28882993	True	False	True	False
28927942	True	False	False	False
28899899	True	True	False	False
28882401	True	False	False	False
28887874	True	True	False	False
28889956	True	True	False	False
28950087	True	True	False	False
28935790	True	False	False	False
28843296	True	True	False	False
28661899	True	False	False	False
28614186	True	False	False	False
29568424	True	True	False	False
28826729	True	True	False	False
28667110	True	True	False	False
28864822	True	True	True	False
28852099	True	True	False	False
28867387	True	True	True	False
28813177	True	False	False	False
28893598	True	False	False	False
28804127	True	True	True	False
28805795	True	True	True	False
28806595	True	True	False	False
28731268	True	True	True	False
28810898	True	True	True	False
28805390	True	True	False	False
28774878	True	True	False	False
28799085	True	True	True	False
28787424	True	True	True	False
28834753	True	True	False	False
28763055	True	True	True	False
28792889	True	False	True	False
28794204	True	True	False	False
28792939	True	True	False	False
28827185	True	True	True	False
28749451	True	True	True	False
28460117	True	True	False	False
28398468	True	False	False	False
28729462	True	False	False	False
28743638	True	False	False	False
28743025	True	False	False	False
28743795	True	True	False	False
28751710	True	True	False	False
28753663	True	True	False	False
28716919	True	True	True	False
28701426	True	True	False	False
28698239	True	False	False	False
28798946	True	False	False	False
28636238	True	True	False	False
28845388	True	False	False	False
28686487	True	True	False	False
28673770	True	True	False	False
28919938	True	True	False	False
28628333	True	False	True	False
28726821	True	True	True	False
28739580	True	False	False	False
28334301	True	False	False	False
28748931	True	True	False	False
28662064	True	True	True	False
28662719	True	True	True	False
28633659	True	True	False	False
28669824	True	False	False	False
28717422	True	True	False	False
28654726	True	False	False	False
28569061	True	True	False	False
28621666	True	True	False	False
28574338	True	True	False	False
28530747	True	True	False	False
28543713	True	False	True	False
28584082	True	False	False	False
28591636	True	True	True	False
28585096	True	True	False	False
28572395	True	True	False	False
28369572	True	True	False	False
28504653	True	True	False	False
28552581	True	True	True	False
28559356	True	True	False	False
28970939	True	True	False	False
28522851	True	True	False	False
28536148	True	False	False	False
28560284	True	True	False	False
28553201	True	True	False	False
28487417	True	True	True	False
28492366	True	False	True	False
28500343	True	True	False	False
28467899	True	True	True	False
28315832	True	False	True	False
28348259	True	True	True	False
28479188	True	True	False	False
28475116	True	True	False	False
28476952	True	True	False	False
28525737	True	False	False	False
28462916	True	False	True	False
28457706	True	True	False	False
28528637	True	True	False	False
28418254	True	False	True	False
28420426	True	True	False	False
28499927	True	True	False	False
28452102	True	True	False	False
28441009	True	True	False	False
28449715	True	True	True	False
28407670	True	True	False	False
28429122	True	True	False	False
28418382	True	True	True	False
28414331	True	True	False	False
28528639	True	True	False	False
28400318	True	True	False	False
28394313	True	True	True	False
28405610	True	False	True	False
28400519	True	False	False	False
28400443	True	False	True	False
28528642	True	True	False	False
28528643	True	False	False	False
28396520	True	True	False	False
28431245	True	True	False	False
28025392	True	True	False	False
28366620	True	False	False	False
28319093	True	True	True	False
28347274	True	True	False	False
28346509	True	True	True	False
28294141	True	False	True	False
28288129	True	True	True	False
28293305	True	False	True	False
28292960	True	True	False	False
28351886	True	True	True	False
28280078	True	True	False	False
28381411	True	True	False	False
28320919	True	True	False	False
28263839	True	True	False	False
28160569	True	True	False	False
28258214	True	True	True	False
28232987	True	False	False	False
28145886	True	True	True	False
28196983	True	True	True	False
28223506	True	False	True	False
28196526	True	True	False	False
28232136	True	False	False	False
28188237	True	True	False	False
28187790	True	True	True	False
28183267	True	True	False	False
28157215	True	True	False	False
28191888	True	False	True	False
28211844	True	False	False	False
28189581	True	False	True	False
28179364	True	False	False	False
28249158	True	True	False	False
28245920	True	True	False	False
28154130	True	False	True	False
28202673	True	False	False	False
28161575	True	True	False	False
28171747	True	True	False	False
27748673	True	False	False	False
27545647	True	True	False	False
28125734	True	True	False	False
28118959	True	True	False	False
28093074	True	True	True	False
28077618	True	True	False	False
29151226	True	True	True	False
28062848	True	True	False	False
28086083	True	False	False	False
28082316	True	True	False	False
28842890	True	True	True	False
28470603	True	False	False	False
28102269	True	True	False	False
28324605	True	False	False	False
28068331	True	True	False	False
28129539	True	True	False	False
28129536	True	True	True	False
28125793	True	True	True	False
28150244	True	True	False	False
27797084	True	False	False	False
