PMID	DOI	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	ML_Check	Affs
30478441	10.1038/s41588-018-0271-0	2018	2018	2019	2019	2018	2018	True	Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK. /// Microsoft Research New England, Cambridge, Massachusetts, USA. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK. /// Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK. ib1@sanger.ac.uk. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK. oliver.stegle@embl.de.
30471255	10.1016/j.jmb.2018.11.018	2018	2018		2020	2018	2018	True	Lunenfeld Tanenbaum Research Institute. Mount Sinai Hospital, Toronto, ON M5G 1X5, Canada; Department of Molecular Genetics. University of Toronto, Toronto, ON M5S 3E1, Canada; European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), CB10 1SD, Hinxton, UK. /// Structural Genomics Consortium, University of Toronto, Toronto, ON M5S 3E1, Canada.
30528433	10.1016/j.cell.2018.11.004	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EBI), Wellcome Genome Campus, Hinxton, Cambridge, UK.
30069064	10.1038/s41431-018-0219-y	2018	2018	2018	2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Hinxton, UK. /// Broad Institute of MIT and Harvard, Cambridge, MA, USA. /// Wellcome Trust Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK. /// National Human Genome Research Institute, NIH, Bethesda, MD, USA. /// Genomics Institute, University of California at Santa Cruz, Santa Cruz, CA, USA. /// Bioreference Laboratories, Inc., Elmwood Park, NJ, USA. /// ELIXIR Hub, Wellcome Genome Campus, Hinxton, Cambridge, UK. /// McGill Centre for Integrative Neurosciences, Montreal Neurological Institute, McGill University, Montreal, QC, Canada. /// UCL Cancer Institute, University College London, London, UK. /// University of Zurich & Swiss Institute of Bioinformatics, Zurich, Switzerland.
30311252	10.1111/age.12736	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, UK. /// The Roslin Institute and Royal (Dick) School of Veterinary Studies, University of Edinburgh, Easter Bush, Midlothian, EH25 9RG, UK.
30590394	10.1093/bioinformatics/bty1033	2018	2019		2019		2019	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, UK.
30576415	10.1093/bioinformatics/bty1032	2018	2018	2019	2019		2019	True	Department of Human Genetics, Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, UK.
30588515	10.1038/s42003-018-0226-0	2018	2019	2018	2020	2018	2018	True	Medical Research Council Harwell Institute (Mammalian Genetis Unit and Mary Lyon Center, Harwell, Oxfordshire, OX11 0RD, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1 SD, UK. /// The Jackson Laboratory, Bar Harbor, ME, 04609, USA. /// Clinical Pharmacology, Charterhouse Square, Barts and the London School of Medicine and Dentistry, Queen Mary University of London, London, EC1M 6BQ, UK. /// The Wellcome Trust Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SA, UK.
30581056	10.1016/j.tem.2018.11.005	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton CB10 1SD, UK; These authors contributed equally to this work. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton CB10 1SD, UK; Institute of Healthy Aging, Department of Genetics, Evolution and Environment, University College London, London, UK; These authors contributed equally to this work. /// Institute of Healthy Aging, Department of Genetics, Evolution and Environment, University College London, London, UK; Max Planck Institute for Biology of Aging, Cologne, Germany. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton CB10 1SD, UK. Electronic address: thornton@ebi.ac.uk.
30573687	10.15252/msb.20188430	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Cambridge, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Cambridge, UK pbeltrao@ebi.ac.uk.
