PMID	DOI	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	ML_Check	Affs
29766495	10.1002/1873-3468.13062	2018	2018		2019	2018	2018	False	
29749603	10.1002/1873-3468.13086	2018	2018	2018	2019	2018	2018	True	European Molecular Biology Laboratory (EMBL), European Bioinformatics Institute (EMBL-EBI), Cambridge, UK.
29772603	10.1002/1873-3468.13096	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory, Grenoble, France.
30194725	10.1002/1873-3468.13246	2018	2018	2018	2019	2018	2018	True	Centre for Structural Systems Biology (CSSB), DESY and European Molecular Biology Laboratory Hamburg, Hamburg, Germany.
30403291	10.1002/1873-3468.13284	2018	2018	2019	2019	2018	2018	True	Genome Biology Unit, European Molecular Biology Laboratory, Heidelberg, Germany. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory, Heidelberg, Germany.
29797762	10.1002/1878-0261.12323	2018	2018	2018	2019	2018	2018	False	
29575453	10.1002/anie.201801071	2018	2018		2019	2018	2018	False	
29873161	10.1002/anie.201804020	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory, Cell Biology and Biophysics Unit, Heidelberg, Germany.
30569539	10.1002/anie.201812967	2018	2018	2019	2019	2019	2019	True	Molecular Medicine Partnership Unit (MMPU), 69117, Heidelberg, Germany.
29845757	10.1002/cam4.1407	2018	2018	2018	2018	2018	2018	True	Genome Biology, European Molecular Biology Laboratory, German Cancer Research Center and National Center for Tumor Diseases, Heidelberg, Germany.
29139594	10.1002/cbic.201700596	2017	2017		2019	2017	2017	True	European Molecular Biology Laboratory (EMBL), Hamburg Outstation c/o DESY, Notkestrasse 85, 22607, Hamburg, Germany.
30338897	10.1002/cbic.201800541	2018	2018	2019	2019	2018	2018	True	Genome Biology Unit, European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117, Heidelberg, Germany.
29676491	10.1002/chem.201800910	2018	2018		2018	2018	2018	False	
30008982	10.1002/cpbi.48	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton CB10 1SD, UK.
29927072	10.1002/cpbi.51	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, United Kingdom.
29927080	10.1002/cpbi.52	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, United Kingdom.
30335213	10.1002/cphc.201800705	2018	2018		2018	2018	2018	True	European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, 69117, Heidelberg, Germany.
29468044	10.1002/ece3.3650	2018	2018	2018	2018	2018	2018	False	
30191648	10.1002/ejhf.1297	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory, Genome Biology Unit, Heidelberg, Germany.
NA	10.1002/ejoc.201800602							NA	NA
30417584	10.1002/glia.23508	2018	2018		2019	2018	2018	True	Mouse Biology Unit, EMBL, Monterotondo, Italy.
