PMID	EMBL	Member states	Worldwide	Partnership
31799525	True	True	False	False
31875550	True	True	False	False
31793901	True	True	False	False
31732457	True	True	True	False
31587321	True	True	True	False
31582430	True	True	True	False
31444106	True	True	False	False
31127285	True	True	False	False
31330532	True	True	False	False
31576216	True	True	False	False
31081279	True	True	False	False
31251587	True	True	False	False
31544844	True	True	True	False
31160782	True	False	False	False
31160341	True	True	False	False
31178222	True	True	False	False
31176018	True	True	True	False
31093962	True	False	False	False
31205015	True	True	False	False
31152688	True	False	True	False
31038818	True	True	True	False
31076555	True	True	False	False
30958484	True	False	True	False
30910349	True	True	False	False
30853216	True	True	False	False
30804345	True	True	False	False
30855248	True	True	False	False
30813511	True	True	False	False
30674089	True	True	True	False
30821707	True	True	False	False
30605929	True	True	False	False
30679709	True	True	False	False
31939155	True	False	False	False
30639226	True	False	False	False
31267455	True	True	False	False
