PMID	EMBL	Member states	Worldwide	Partnership
31871183	True	True	False	False
31856237	True	False	False	False
31899087	True	True	False	False
31852826	True	True	False	False
31831856	True	True	False	False
31877322	True	True	True	False
31848402	True	True	False	False
31794056	True	True	True	False
31765647	True	False	False	False
31745241	True	True	False	False
31752319	True	True	False	False
31751748	True	True	True	False
31780431	True	True	True	False
31704057	True	False	True	False
31666521	True	True	True	False
31692469	True	True	True	False
31652818	True	True	True	False
31615897	True	False	True	False
31824649	True	True	True	False
31576635	True	False	False	False
31876517	True	False	True	False
31531471	True	True	False	False
31541188	True	True	False	False
31527838	True	True	False	False
31462497	True	False	True	False
31576227	True	True	False	False
31350339	True	False	False	False
31373574	True	False	False	False
31363031	True	True	False	False
31382119	True	True	False	False
31316088	True	True	False	False
31376619	True	True	False	False
31303480	True	True	False	False
31288030	True	True	False	False
31324691	True	True	False	False
31324690	True	True	False	False
31066444	True	True	False	False
31262830	True	False	True	False
31274445	True	True	True	False
31380168	True	True	True	False
30967564	True	True	False	False
30737350	True	False	True	False
31074435	True	True	True	False
30944476	True	True	False	False
30872316	True	True	True	False
30894413	True	True	False	False
30567981	True	False	True	False
30855248	True	True	False	False
30792174	True	True	True	False
30792490	True	True	True	False
30781512	True	True	False	False
30821707	True	True	False	False
30726752	True	False	False	False
30644743	True	True	False	False
30655475	True	True	True	False
