PMID	EMBL	Member states	Worldwide	Partnership
31831842	True	True	False	True
31786474	True	True	False	True
31695133	True	False	True	True
31759291	True	True	False	True
31653243	True	False	True	True
31622593	True	True	False	True
31635306	True	True	True	True
31624847	True	True	False	True
31603356	True	True	False	True
31671180	True	False	False	True
31564498	True	True	False	True
31551480	True	True	False	True
31475439	True	True	True	True
31402417	True	True	False	True
31405530	True	False	True	True
31395667	True	True	False	True
31243363	True	True	False	True
31223654	True	True	True	True
31226278	True	False	True	True
31151054	True	True	True	True
31138794	True	True	False	True
31191256	True	True	False	True
31122870	True	False	True	True
31076247	True	True	True	True
31149037	True	True	True	True
30926605	True	True	False	True
30981959	True	False	True	True
30875761	True	True	False	True
30816230	True	False	True	True
30760074	True	True	False	True
30780131	True	False	False	False
30626608	True	True	True	True
30616481	True	True	True	True
30610706	True	False	False	True
