PMID	EMBL	Member states	Worldwide	Partnership
31872957	True	True	False	False
31864810	True	False	False	False
31871773	True	False	True	False
31848402	True	True	False	False
31899087	True	True	False	False
31843054	True	True	False	False
31871321	True	True	False	False
31871183	True	True	False	False
31873213	True	True	False	False
31861603	True	True	False	False
31886458	True	True	True	False
31856237	True	False	False	False
31856920	True	True	True	False
31886916	True	True	False	False
31862794	True	False	False	False
31867857	True	False	False	False
31852826	True	True	False	False
31841001	True	True	False	False
31892341	True	True	False	False
31877322	True	True	True	False
31942413	True	False	True	False
31882714	True	False	False	False
31885181	True	True	True	False
31844114	True	True	True	False
31844327	True	True	True	False
31838087	True	False	False	False
31836005	True	True	False	False
31831620	True	True	True	False
31831856	True	True	False	False
31831842	True	True	False	True
31887656	True	True	False	False
31833957	True	False	True	False
31903209	True	True	False	True
31811739	True	True	False	False
31819058	True	False	True	False
31819260	True	False	True	False
31755270	True	True	True	False
31550056	True	False	False	False
31818940	True	True	False	False
31827272	True	True	True	False
31827124	True	True	True	False
31827096	True	True	False	True
31827285	True	True	True	False
31818518	True	False	False	True
31804486	True	False	False	False
31875550	True	True	False	False
31759488	True	True	False	False
31885203	True	False	False	False
31885205	True	False	False	False
31885201	True	True	False	False
31801079	True	True	False	False
31835027	True	True	True	False
31799525	True	True	False	False
31849633	True	True	False	False
31653976	True	True	False	False
31664237	True	True	True	False
31851928	True	True	True	True
31788827	True	False	False	False
31792435	True	True	True	False
31825480	True	True	False	False
31728524	True	True	True	True
31796628	True	False	False	False
31796567	True	True	True	False
31794056	True	True	True	False
31796124	True	True	False	False
31584084	True	True	True	False
31802000	True	True	True	False
31814998	True	True	True	False
31396628	True	True	False	False
31368484	True	False	True	False
31783876	True	True	True	False
31786069	True	True	False	False
31791692	True	False	False	True
31776383	True	True	True	False
31776409	True	False	True	False
31658407	True	False	False	False
31765647	True	False	False	False
31766582	True	False	True	False
31667540	True	True	False	False
31780431	True	True	True	False
31793901	True	True	False	False
31753895	True	True	False	False
31747680	True	True	True	False
31747127	True	False	False	False
31746734	True	False	True	False
31745241	True	True	False	False
31744855	True	False	True	False
31744546	True	True	True	False
31752319	True	True	False	False
31725724	True	True	False	False
31751748	True	True	True	False
31740789	True	True	False	False
31740522	True	True	True	False
31740821	True	True	False	False
31740578	True	True	True	False
31786474	True	True	False	True
31733177	True	False	False	False
31733337	True	False	True	False
31735667	True	True	False	False
31735668	True	True	False	False
31732457	True	True	True	False
31689081	True	True	False	True
31711268	True	False	True	False
31698518	True	True	True	True
31787936	True	False	False	False
31685999	True	True	False	True
31690048	True	True	False	True
31685654	True	True	False	False
31685959	True	True	False	False
31747609	True	True	False	True
31691184	True	True	False	False
31702580	True	False	True	False
31694351	True	True	True	False
31695133	True	False	True	True
31704057	True	False	True	False
31730851	True	True	True	False
31730850	True	True	True	False
31722201	True	True	True	False
31647630	True	False	False	False
31673121	True	True	True	False
31520075	True	True	True	False
31192369	True	True	False	False
31134271	True	False	False	False
31161210	True	True	True	False
31276579	True	True	True	False
31663334	True	True	False	False
30184176	True	True	True	False
31692469	True	True	True	False
31657527	True	False	False	False
31759291	True	True	False	True
31733513	True	True	True	False
31668010	True	True	False	False
31612567	True	True	True	False
31659149	True	True	True	False
31659326	True	True	True	False
31606900	True	True	False	False
31678471	True	True	True	False
31649060	True	True	True	False
31666521	True	True	True	False
31653243	True	False	True	True
31645724	True	True	False	False
31652818	True	True	True	False
31599596	True	True	True	False
31616925	True	True	True	False
31618524	True	False	False	False
31635306	True	True	True	True
31628041	True	True	False	False
31635152	True	True	False	False
31645299	True	True	False	False
31628213	True	True	False	False
31626286	True	True	False	False
31641044	True	False	False	False
31640768	True	False	False	False
31622593	True	True	False	True
31824649	True	True	True	False
31629658	True	False	True	False
31629552	True	False	False	False
31624847	True	True	False	True
31625274	True	True	True	False
31603612	True	True	False	False
31603356	True	True	False	True
31576635	True	False	False	False
31603610	True	True	False	False
31609649	True	True	True	False
31615897	True	False	True	False
31600188	True	True	True	False
31560527	True	False	True	False
31599373	True	True	True	False
31605112	True	False	False	False
31606369	True	True	False	True
31607649	True	False	True	False
31605717	True	False	True	False
31605699	True	True	True	False
31605098	True	True	True	False
31596468	True	False	False	False
31590109	True	False	False	False
31587321	True	True	True	False
31589307	True	True	False	False
31591642	True	True	True	False
31671180	True	False	False	True
31633216	True	True	True	False
31876517	True	False	True	False
31582381	True	True	True	False
31582430	True	True	True	False
31582558	True	True	False	False
31562479	True	True	True	False
31548717	True	True	True	False
31594948	True	True	False	False
31591555	True	True	False	False
31644901	True	True	False	False
31682868	True	True	False	True
31626769	True	False	False	False
31527288	True	True	False	False
31524898	True	True	False	False
31504356	True	True	False	False
31451767	True	True	True	False
31577949	True	True	False	False
31576060	True	True	True	False
31365468	True	False	False	False
31241141	True	True	True	False
30793173	True	True	True	False
30851093	True	True	True	False
31120853	True	False	False	False
