PMID	EMBL	Member states	Worldwide	Partnership
31861603	True	True	False	False
31844114	True	True	True	False
31667540	True	True	False	False
31685654	True	True	False	False
31691184	True	True	False	False
31605098	True	True	True	False
31365468	True	False	False	False
31616420	True	True	False	False
31302264	True	True	True	False
31235572	True	True	False	False
31064983	True	False	True	False
31061525	True	True	True	False
31015568	True	False	False	False
30790233	True	True	False	False
30692269	True	False	True	False
30745336	True	True	False	False
30617251	True	True	False	False
30652115	True	False	False	False
