PMID	fullName	firstName	lastName	initials	AFF	Best_name	ROR_ID	Country	City	Predict
29311845	Rasmussen R	Rune	Rasmussen	R	The Danish Research Institute of Translational Neuroscience-DANDRITE, Nordic EMBL Partnership for Molecular Medicine, Department of Biomedicine, Aarhus University, Aarhus, Denmark.	Aarhus University	https://ror.org/01aj84f44	Denmark	Aarhus	[{'name': 'Aarhus University', 'id': 'https://ror.org/01aj84f44', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Aarhus University' Aarhus Denmark", 'city': 'Aarhus', 'country': 'Denmark', 'string': 'The Danish Research Institute of Translational Neuroscience-DANDRITE, Nordic EMBL Partnership for Molecular Medicine, Department of Biomedicine, Aarhus University, Aarhus, Denmark.'}]
29311845	Yonehara K	Keisuke	Yonehara	K	The Danish Research Institute of Translational Neuroscience-DANDRITE, Nordic EMBL Partnership for Molecular Medicine, Department of Biomedicine, Aarhus University, Aarhus, Denmark.	Aarhus University	https://ror.org/01aj84f44	Denmark	Aarhus	[{'name': 'Aarhus University', 'id': 'https://ror.org/01aj84f44', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Aarhus University' Aarhus Denmark", 'city': 'Aarhus', 'country': 'Denmark', 'string': 'The Danish Research Institute of Translational Neuroscience-DANDRITE, Nordic EMBL Partnership for Molecular Medicine, Department of Biomedicine, Aarhus University, Aarhus, Denmark.'}]
29248375	Rasmussen R	Rune	Rasmussen	R	The Danish Research Institute of Translational Neuroscience - DANDRITE, Nordic EMBL Partnership for Molecular Medicine, Department of Biomedicine, Aarhus University, 8000 Aarhus C, Denmark. Electronic address: runerasmussen@dandrite.au.dk.	Aarhus University	https://ror.org/01aj84f44	Denmark	Aarhus	[{'name': 'Aarhus University', 'id': 'https://ror.org/01aj84f44', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Aarhus University' Aarhus Denmark", 'city': 'Aarhus', 'country': 'Denmark', 'string': 'The Danish Research Institute of Translational Neuroscience - DANDRITE, Nordic EMBL Partnership for Molecular Medicine, Department of Biomedicine, Aarhus University, 8000 Aarhus C, Denmark. Electronic address: runerasmussen@dandrite.au.dk.'}]
29248375	Jensen MH	Mogens H	Jensen	MH	Niels Bohr Institute, University of Copenhagen, 2100 Copenhagen, Denmark.	University of Copenhagen	https://ror.org/035b05819	Denmark	Copenhagen	[{'name': 'University of Copenhagen', 'id': 'https://ror.org/035b05819', 'choose': True, 'score': 1.0, 'method': "Exact match : 'University of Copenhagen' Copenhagen Denmark", 'city': 'Copenhagen', 'country': 'Denmark', 'string': 'Niels Bohr Institute, University of Copenhagen, 2100 Copenhagen, Denmark.'}]
29248375	Heltberg ML	Mathias L	Heltberg	ML	Niels Bohr Institute, University of Copenhagen, 2100 Copenhagen, Denmark. Electronic address: heltberg@nbi.ku.dk.	University of Copenhagen	https://ror.org/035b05819	Denmark	Copenhagen	[{'name': 'University of Copenhagen', 'id': 'https://ror.org/035b05819', 'choose': True, 'score': 1.0, 'method': "Exact match : 'University of Copenhagen' Copenhagen Denmark", 'city': 'Copenhagen', 'country': 'Denmark', 'string': 'Niels Bohr Institute, University of Copenhagen, 2100 Copenhagen, Denmark. Electronic address: heltberg@nbi.ku.dk.'}]
29246447	Chollet ME	Maria Eugenia	Chollet	ME	Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway	Oslo University Hospital	https://ror.org/00j9c2840	Norway	Oslo	[{'name': 'University of Oslo', 'id': 'https://ror.org/01xtthb56', 'choose': False, 'score': 0.72, 'method': 'Prediction', 'city': 'Oslo', 'country': 'Norway', 'string': 'Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway'}, {'name': 'Oslo University Hospital', 'id': 'https://ror.org/00j9c2840', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Oslo University Hospital' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': 'Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway'}]
29246447	Chollet ME	Maria Eugenia	Chollet	ME	 Research Institute of Internal Medicine, Oslo University Hospital, NO-0424 Oslo, Norway	Oslo University Hospital	https://ror.org/00j9c2840	Norway	Oslo	[{'name': 'Oslo University Hospital', 'id': 'https://ror.org/00j9c2840', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Oslo University Hospital' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': ' Research Institute of Internal Medicine, Oslo University Hospital, NO-0424 Oslo, Norway'}]
29246447	Chollet ME	Maria Eugenia	Chollet	ME	 Institute of Clinical Medicine, University of Oslo, Oslo, Norway. Electronic address: Maria.Eugenia.Chollet.Dugarte@rr-research.no.	University of Oslo	https://ror.org/01xtthb56	Norway	Oslo	[{'name': 'University of Oslo', 'id': 'https://ror.org/01xtthb56', 'choose': True, 'score': 1.0, 'method': "Exact match : 'University of Oslo' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': ' Institute of Clinical Medicine, University of Oslo, Oslo, Norway. Electronic address: Maria.Eugenia.Chollet.Dugarte@rr-research.no.'}]
29246447	Andersen E	Elisabeth	Andersen	E	Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway	Oslo University Hospital	https://ror.org/00j9c2840	Norway	Oslo	[{'name': 'University of Oslo', 'id': 'https://ror.org/01xtthb56', 'choose': False, 'score': 0.72, 'method': 'Prediction', 'city': 'Oslo', 'country': 'Norway', 'string': 'Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway'}, {'name': 'Oslo University Hospital', 'id': 'https://ror.org/00j9c2840', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Oslo University Hospital' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': 'Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway'}]
29246447	Andersen E	Elisabeth	Andersen	E	 Research Institute of Internal Medicine, Oslo University Hospital, NO-0424 Oslo, Norway	Oslo University Hospital	https://ror.org/00j9c2840	Norway	Oslo	[{'name': 'Oslo University Hospital', 'id': 'https://ror.org/00j9c2840', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Oslo University Hospital' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': ' Research Institute of Internal Medicine, Oslo University Hospital, NO-0424 Oslo, Norway'}]
29246447	Andersen E	Elisabeth	Andersen	E	 Institute of Clinical Medicine, University of Oslo, Oslo, Norway.	University of Oslo	https://ror.org/01xtthb56	Norway	Oslo	[{'name': 'University of Oslo', 'id': 'https://ror.org/01xtthb56', 'choose': True, 'score': 1.0, 'method': "Exact match : 'University of Oslo' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': ' Institute of Clinical Medicine, University of Oslo, Oslo, Norway.'}]
29246447	Skarpen E	Ellen	Skarpen	E	Core facility for Advanced Light Microscopy, Institute for Cancer Research, Oslo University Hospital, NO-0379 Oslo, Norway.	Oslo University Hospital	https://ror.org/00j9c2840	Norway	Oslo	[{'name': 'Oslo University Hospital', 'id': 'https://ror.org/00j9c2840', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Oslo University Hospital' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': 'Core facility for Advanced Light Microscopy, Institute for Cancer Research, Oslo University Hospital, NO-0379 Oslo, Norway.'}]
29246447	Myklebust CF	Christiane F	Myklebust	CF	Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway	Oslo University Hospital	https://ror.org/00j9c2840	Norway	Oslo	[{'name': 'University of Oslo', 'id': 'https://ror.org/01xtthb56', 'choose': False, 'score': 0.72, 'method': 'Prediction', 'city': 'Oslo', 'country': 'Norway', 'string': 'Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway'}, {'name': 'Oslo University Hospital', 'id': 'https://ror.org/00j9c2840', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Oslo University Hospital' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': 'Department of Hematology, Oslo University Hospital, NO-0424 Oslo, Norway'}]
29246447	Myklebust CF	Christiane F	Myklebust	CF	 Research Institute of Internal Medicine, Oslo University Hospital, NO-0424 Oslo, Norway.	Oslo University Hospital	https://ror.org/00j9c2840	Norway	Oslo	[{'name': 'Oslo University Hospital', 'id': 'https://ror.org/00j9c2840', 'choose': True, 'score': 1.0, 'method': "Exact match : 'Oslo University Hospital' Oslo Norway", 'city': 'Oslo', 'country': 'Norway', 'string': ' Research Institute of Internal Medicine, Oslo University Hospital, NO-0424 Oslo, Norway.'}]
